Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,1.77,0.2441,-0.4883,-0.1416,0.9863,-0.0859,0.0,0.0,0.0
1,1.709,0.3662,-0.6714,-0.1382,0.9863,-0.0864,141.3129,-151.7975,-25.0349
2,1.709,0.3662,-0.4883,-0.1406,0.9863,-0.0869,145.1845,-151.7975,-43.8111
3,1.709,0.3662,-0.6104,-0.1401,0.9849,-0.0874,145.1845,-151.7975,-43.8111
4,1.709,0.4272,-0.5493,-0.1411,0.9863,-0.0884,141.3129,-156.3628,-43.8111
5,1.709,0.6714,-0.6104,-0.1421,0.9854,-0.085,164.5424,-154.0801,-31.2936
6,1.6479,0.6714,-0.5493,-0.1445,0.9829,-0.0859,164.5424,-154.0801,-31.2936
7,1.5869,0.7935,-0.6104,-0.1436,0.9819,-0.0854,150.9918,-152.9388,-40.6817
8,1.3428,0.9155,-0.7935,-0.1436,0.981,-0.0874,139.3771,-148.3735,-46.9404
9,1.2207,1.0376,-0.7324,-0.1436,0.9829,-0.0889,141.3129,-149.5148,-31.2936
10,1.0986,1.1597,-0.8545,-0.1416,0.9824,-0.0908,141.3129,-149.5148,-31.2936
11,1.0376,1.0986,-0.9155,-0.1421,0.9824,-0.0913,147.1203,-159.7868,-28.1643
12,0.9155,1.2817,-1.0376,-0.1426,0.9829,-0.0908,149.0561,-147.2321,-31.2936
13,0.9766,1.4648,-1.0986,-0.1431,0.9834,-0.0918,149.0561,-147.2321,-31.2936
14,0.9155,1.5869,-1.1597,-0.1421,0.9844,-0.0894,133.5697,-147.2321,-31.2936
15,0.9155,1.5259,-1.1597,-0.1431,0.9854,-0.0884,143.2487,-152.9388,-28.1643
16,0.8545,1.5259,-1.0986,-0.1436,0.9883,-0.0874,160.6708,-151.7975,-50.0698
17,0.9155,1.5259,-1.0376,-0.1465,0.9854,-0.0835,160.6708,-151.7975,-50.0698
18,1.0376,1.2817,-1.0376,-0.1465,0.981,-0.0796,141.3129,-154.0801,-31.2936
19,0.9766,1.1597,-1.0376,-0.1445,0.9819,-0.0767,158.735,-148.3735,-40.6817
